Name,Description,Canonical Units,is alias,target,Physical parameters,Edited by author teams,Last Modified By,UID
radioactivity_concentration_of_213Pb_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pb"" means the element ""lead"" and ""213Pb"" is the isotope ""lead-213"" with a half-life of 6.92e-03 days.",Bq m-3,,,,,Data Request co-leads,3ba81166-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_213Po_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Po"" means the element ""polonium"" and ""213Po"" is the isotope ""polonium-213"" with a half-life of 4.86e-11 days.",Bq m-3,,,,,Data Request co-leads,3ba81167-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_214Bi_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Bi"" means the element ""bismuth"" and ""214Bi"" is the isotope ""bismuth-214"" with a half-life of 1.37e-02 days.",Bq m-3,,,,,Data Request co-leads,3ba81168-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_214Pb_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pb"" means the element ""lead"" and ""214Pb"" is the isotope ""lead-214"" with a half-life of 1.86e-02 days.",Bq m-3,,,,,Data Request co-leads,3ba81169-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_214Po_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Po"" means the element ""polonium"" and ""214Po"" is the isotope ""polonium-214"" with a half-life of 1.90e-09 days.",Bq m-3,,,,,Data Request co-leads,3ba8116a-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_215At_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""At"" means the element ""astatine"" and ""215At"" is the isotope ""astatine-215"" with a half-life of 1.16e-09 days.",Bq m-3,,,,,Data Request co-leads,3ba8116b-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_215Bi_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Bi"" means the element ""bismuth"" and ""215Bi"" is the isotope ""bismuth-215"" with a half-life of 4.86e-03 days.",Bq m-3,,,,,Data Request co-leads,3ba8116c-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_215Po_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Po"" means the element ""polonium"" and ""215Po"" is the isotope ""polonium-215"" with a half-life of 2.06e-08 days.",Bq m-3,,,,,Data Request co-leads,3ba8116d-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_216At_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""At"" means the element ""astatine"" and ""216At"" is the isotope ""astatine-216"" with a half-life of 3.47e-09 days.",Bq m-3,,,,,Data Request co-leads,3ba8116e-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_216Po_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Po"" means the element ""polonium"" and ""216Po"" is the isotope ""polonium-216"" with a half-life of 1.74e-06 days.",Bq m-3,,,,,Data Request co-leads,3ba8116f-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_217At_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""At"" means the element ""astatine"" and ""217At"" is the isotope ""astatine-217"" with a half-life of 3.70e-07 days.",Bq m-3,,,,,Data Request co-leads,3ba81170-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_217Po_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Po"" means the element ""polonium"" and ""217Po"" is the isotope ""polonium-217"" with a half-life of 1.16e-04 days.",Bq m-3,,,,,Data Request co-leads,3ba81171-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_218At_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""At"" means the element ""astatine"" and ""218At"" is the isotope ""astatine-218"" with a half-life of 2.31e-05 days.",Bq m-3,,,,,Data Request co-leads,3ba81172-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_218Po_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Po"" means the element ""polonium"" and ""218Po"" is the isotope ""polonium-218"" with a half-life of 2.12e-03 days.",Bq m-3,,,,,Data Request co-leads,3ba81173-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_218Rn_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Rn"" means the element ""radon"" and ""218Rn"" is the isotope ""radon-218"" with a half-life of 4.05e-07 days.",Bq m-3,,,,,Data Request co-leads,3ba81174-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_219At_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""At"" means the element ""astatine"" and ""219At"" is the isotope ""astatine-219"" with a half-life of 6.27e-04 days.",Bq m-3,,,,,Data Request co-leads,3ba81175-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_219Rn_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Rn"" means the element ""radon"" and ""219Rn"" is the isotope ""radon-219"" with a half-life of 4.64e-05 days.",Bq m-3,,,,,Data Request co-leads,3ba81176-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_220Rn_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Rn"" means the element ""radon"" and ""220Rn"" is the isotope ""radon-220"" with a half-life of 6.37e-04 days.",Bq m-3,,,,,Data Request co-leads,3ba81177-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_221Fr_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Fr"" means the element ""francium"" and ""221Fr"" is the isotope ""francium-221"" with a half-life of 3.33e-03 days.",Bq m-3,,,,,Data Request co-leads,3ba81178-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_221Rn_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Rn"" means the element ""radon"" and ""221Rn"" is the isotope ""radon-221"" with a half-life of 1.74e-02 days.",Bq m-3,,,,,Data Request co-leads,3ba81179-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_222Fr_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Fr"" means the element ""francium"" and ""222Fr"" is the isotope ""francium-222"" with a half-life of 1.03e-02 days.",Bq m-3,,,,,Data Request co-leads,3ba8117a-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_222Ra_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Ra"" means the element ""radium"" and ""222Ra"" is the isotope ""radium-222"" with a half-life of 4.41e-04 days.",Bq m-3,,,,,Data Request co-leads,3ba8117b-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_222Rn_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Rn"" means the element ""radon"" and ""222Rn"" is the isotope ""radon-222"" with a half-life of 3.82e+00 days.",Bq m-3,,,,,Data Request co-leads,3ba8117c-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_223Fr_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Fr"" means the element ""francium"" and ""223Fr"" is the isotope ""francium-223"" with a half-life of 1.53e-02 days.",Bq m-3,,,,,Data Request co-leads,3ba8117d-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_223Ra_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Ra"" means the element ""radium"" and ""223Ra"" is the isotope ""radium-223"" with a half-life of 1.14e+01 days.",Bq m-3,,,,,Data Request co-leads,3ba8117e-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_223Rn_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Rn"" means the element ""radon"" and ""223Rn"" is the isotope ""radon-223"" with a half-life of 2.98e-02 days.",Bq m-3,,,,,Data Request co-leads,3ba8117f-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_224Ra_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Ra"" means the element ""radium"" and ""224Ra"" is the isotope ""radium-224"" with a half-life of 3.65e+00 days.",Bq m-3,,,,,Data Request co-leads,3ba81180-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_225Ac_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Ac"" means the element ""actinium"" and ""225Ac"" is the isotope ""actinium-225"" with a half-life of 1.00e+01 days.",Bq m-3,,,,,Data Request co-leads,3ba81181-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_225Ra_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Ra"" means the element ""radium"" and ""225Ra"" is the isotope ""radium-225"" with a half-life of 1.48e+01 days.",Bq m-3,,,,,Data Request co-leads,3ba81182-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_226Ac_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Ac"" means the element ""actinium"" and ""226Ac"" is the isotope ""actinium-226"" with a half-life of 1.21e+00 days.",Bq m-3,,,,,Data Request co-leads,3ba81183-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_226Ra_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Ra"" means the element ""radium"" and ""226Ra"" is the isotope ""radium-226"" with a half-life of 5.86e+05 days.",Bq m-3,,,,,Data Request co-leads,3ba81184-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_226Th_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Th"" means the element ""thorium"" and ""226Th"" is the isotope ""thorium-226"" with a half-life of 2.15e-02 days.",Bq m-3,,,,,Data Request co-leads,3ba81185-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_227Ac_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Ac"" means the element ""actinium"" and ""227Ac"" is the isotope ""actinium-227"" with a half-life of 7.87e+03 days.",Bq m-3,,,,,Data Request co-leads,3ba81186-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_227Ra_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Ra"" means the element ""radium"" and ""227Ra"" is the isotope ""radium-227"" with a half-life of 2.87e-02 days.",Bq m-3,,,,,Data Request co-leads,3ba81187-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_227Th_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Th"" means the element ""thorium"" and ""227Th"" is the isotope ""thorium-227"" with a half-life of 1.82e+01 days.",Bq m-3,,,,,Data Request co-leads,3ba81188-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_228Ac_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Ac"" means the element ""actinium"" and ""228Ac"" is the isotope ""actinium-228"" with a half-life of 2.55e-01 days.",Bq m-3,,,,,Data Request co-leads,3ba81189-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_228Ra_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Ra"" means the element ""radium"" and ""228Ra"" is the isotope ""radium-228"" with a half-life of 2.45e+03 days.",Bq m-3,,,,,Data Request co-leads,3ba8118a-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_228Th_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Th"" means the element ""thorium"" and ""228Th"" is the isotope ""thorium-228"" with a half-life of 6.98e+02 days.",Bq m-3,,,,,Data Request co-leads,3ba8118b-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_229Ac_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Ac"" means the element ""actinium"" and ""229Ac"" is the isotope ""actinium-229"" with a half-life of 4.58e-02 days.",Bq m-3,,,,,Data Request co-leads,3ba8118c-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_229Ra_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Ra"" means the element ""radium"" and ""229Ra"" is the isotope ""radium-229"" with a half-life of 1.16e-17 days.",Bq m-3,,,,,Data Request co-leads,3ba8118d-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_229Th_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Th"" means the element ""thorium"" and ""229Th"" is the isotope ""thorium-229"" with a half-life of 2.68e+06 days.",Bq m-3,,,,,Data Request co-leads,3ba8118e-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_230Pa_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pa"" means the element ""protactinium"" and ""230Pa"" is the isotope ""protactinium-230"" with a half-life of 1.77e+01 days.",Bq m-3,,,,,Data Request co-leads,3ba8118f-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_230Th_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Th"" means the element ""thorium"" and ""230Th"" is the isotope ""thorium-230"" with a half-life of 2.92e+07 days.",Bq m-3,,,,,Data Request co-leads,3ba81190-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_230U_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""U"" means the element ""uranium"" and ""230U"" is the isotope ""uranium-230"" with a half-life of 2.08e+01 days.",Bq m-3,,,,,Data Request co-leads,3ba81191-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_231Pa_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pa"" means the element ""protactinium"" and ""231Pa"" is the isotope ""protactinium-231"" with a half-life of 1.19e+07 days.",Bq m-3,,,,,Data Request co-leads,3ba81192-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_231Th_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Th"" means the element ""thorium"" and ""231Th"" is the isotope ""thorium-231"" with a half-life of 1.06e+00 days.",Bq m-3,,,,,Data Request co-leads,3ba81193-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_231U_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""U"" means the element ""uranium"" and ""231U"" is the isotope ""uranium-231"" with a half-life of 4.29e+00 days.",Bq m-3,,,,,Data Request co-leads,3ba81194-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_232Pa_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pa"" means the element ""protactinium"" and ""232Pa"" is the isotope ""protactinium-232"" with a half-life of 1.31e+00 days.",Bq m-3,,,,,Data Request co-leads,3ba81195-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_232Th_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Th"" means the element ""thorium"" and ""232Th"" is the isotope ""thorium-232"" with a half-life of 5.14e+12 days.",Bq m-3,,,,,Data Request co-leads,3ba81196-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_232U_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""U"" means the element ""uranium"" and ""232U"" is the isotope ""uranium-232"" with a half-life of 2.63e+04 days.",Bq m-3,,,,,Data Request co-leads,3ba81197-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_233Pa_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pa"" means the element ""protactinium"" and ""233Pa"" is the isotope ""protactinium-233"" with a half-life of 2.70e+01 days.",Bq m-3,,,,,Data Request co-leads,3ba81198-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_233Th_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Th"" means the element ""thorium"" and ""233Th"" is the isotope ""thorium-233"" with a half-life of 1.54e-02 days.",Bq m-3,,,,,Data Request co-leads,3ba81199-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_233U_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""U"" means the element ""uranium"" and ""233U"" is the isotope ""uranium-233"" with a half-life of 5.90e+07 days.",Bq m-3,,,,,Data Request co-leads,3ba8119a-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_234mPa_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pa"" means the element ""protactinium"" and ""234mPa"" is the metastable state of the isotope ""protactinium-234"" with a half-life of 8.13e-04 days.",Bq m-3,,,,,Data Request co-leads,3ba8119e-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_234Pa_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pa"" means the element ""protactinium"" and ""234Pa"" is the isotope ""protactinium-234"" with a half-life of 2.81e-01 days.",Bq m-3,,,,,Data Request co-leads,3ba8119b-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_234Th_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Th"" means the element ""thorium"" and ""234Th"" is the isotope ""thorium-234"" with a half-life of 2.41e+01 days.",Bq m-3,,,,,Data Request co-leads,3ba8119c-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_234U_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""U"" means the element ""uranium"" and ""234U"" is the isotope ""uranium-234"" with a half-life of 9.02e+07 days.",Bq m-3,,,,,Data Request co-leads,3ba8119d-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_235Np_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Np"" means the element ""neptunium"" and ""235Np"" is the isotope ""neptunium-235"" with a half-life of 4.09e+02 days.",Bq m-3,,,,,Data Request co-leads,3ba8119f-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_235Pu_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pu"" means the element ""plutonium"" and ""235Pu"" is the isotope ""plutonium-235"" with a half-life of 1.81e-02 days.",Bq m-3,,,,,Data Request co-leads,3ba811a0-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_235U_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""U"" means the element ""uranium"" and ""235U"" is the isotope ""uranium-235"" with a half-life of 2.60e+11 days.",Bq m-3,,,,,Data Request co-leads,3ba811a1-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_236mNp_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Np"" means the element ""neptunium"" and ""236mNp"" is the metastable state of the isotope ""neptunium-236"" with a half-life of 4.72e+10 days.",Bq m-3,,,,,Data Request co-leads,3ba811a5-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_236Np_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Np"" means the element ""neptunium"" and ""236Np"" is the isotope ""neptunium-236"" with a half-life of 9.17e-01 days.",Bq m-3,,,,,Data Request co-leads,3ba811a2-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_236Pu_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pu"" means the element ""plutonium"" and ""236Pu"" is the isotope ""plutonium-236"" with a half-life of 1.04e+03 days.",Bq m-3,,,,,Data Request co-leads,3ba811a3-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_236U_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""U"" means the element ""uranium"" and ""236U"" is the isotope ""uranium-236"" with a half-life of 8.73e+09 days.",Bq m-3,,,,,Data Request co-leads,3ba811a4-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_237Np_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Np"" means the element ""neptunium"" and ""237Np"" is the isotope ""neptunium-237"" with a half-life of 7.79e+08 days.",Bq m-3,,,,,Data Request co-leads,3ba811a6-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_237Pu_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pu"" means the element ""plutonium"" and ""237Pu"" is the isotope ""plutonium-237"" with a half-life of 4.56e+01 days.",Bq m-3,,,,,Data Request co-leads,3ba811a7-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_237U_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""U"" means the element ""uranium"" and ""237U"" is the isotope ""uranium-237"" with a half-life of 6.74e+00 days.",Bq m-3,,,,,Data Request co-leads,3ba811a8-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_238Np_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Np"" means the element ""neptunium"" and ""238Np"" is the isotope ""neptunium-238"" with a half-life of 2.10e+00 days.",Bq m-3,,,,,Data Request co-leads,3ba811a9-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_238Pu_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pu"" means the element ""plutonium"" and ""238Pu"" is the isotope ""plutonium-238"" with a half-life of 3.15e+04 days.",Bq m-3,,,,,Data Request co-leads,3ba811aa-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_238U_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""U"" means the element ""uranium"" and ""238U"" is the isotope ""uranium-238"" with a half-life of 1.65e+12 days.",Bq m-3,,,,,Data Request co-leads,3ba811ab-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_239Np_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Np"" means the element ""neptunium"" and ""239Np"" is the isotope ""neptunium-239"" with a half-life of 2.35e+00 days.",Bq m-3,,,,,Data Request co-leads,3ba811ac-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_239Pu_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pu"" means the element ""plutonium"" and ""239Pu"" is the isotope ""plutonium-239"" with a half-life of 8.91e+06 days.",Bq m-3,,,,,Data Request co-leads,3ba811ad-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_239U_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""U"" means the element ""uranium"" and ""239U"" is the isotope ""uranium-239"" with a half-life of 1.63e-02 days.",Bq m-3,,,,,Data Request co-leads,3ba811ae-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_240Am_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Am"" means the element ""americium"" and ""240Am"" is the isotope ""americium-240"" with a half-life of 2.12e+00 days.",Bq m-3,,,,,Data Request co-leads,3ba811af-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_240mNp_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Np"" means the element ""neptunium"" and ""240mNp"" is the metastable state of the isotope ""neptunium-240"" with a half-life of 5.08e-03 days.",Bq m-3,,,,,Data Request co-leads,3ba811b3-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_240Np_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Np"" means the element ""neptunium"" and ""240Np"" is the isotope ""neptunium-240"" with a half-life of 4.38e-02 days.",Bq m-3,,,,,Data Request co-leads,3ba811b0-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_240Pu_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Pu"" means the element ""plutonium"" and ""240Pu"" is the isotope ""plutonium-240"" with a half-life of 2.40e+06 days.",Bq m-3,,,,,Data Request co-leads,3ba811b1-8ca2-11ef-944e-41a8eb05f654
radioactivity_concentration_of_240U_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""U"" means the element ""uranium"" and ""240U"" is the isotope ""uranium-240"" with a half-life of 5.99e-01 days.",Bq m-3,,,,,Data Request co-leads,3ba811b2-8ca2-11ef-944e-41a8eb05f654
